abstract;category
In this book Michael Slote discusses the history of ethics from a sentimentalist perspective. It can be read in two ways: first, as a tribute to great thinkers whose contributions have helped shape contemporary ethics, and second, as a defense of a sentimentalist virtue theory. This review centers on the two chapters most relevant to sentimentalist virtue theory: chapter 1, in which Slote defines and defends elevationism, and chapter 5, in which he offers a defense of sentimentalism. The first essay distinguishes between three theories about the relationship between virtue and well-being. Dualist theories, like Kantianism, contend that virtue and well-being are distinct concepts. ;Ethics
In the Nicomachean Ethics Aristotle examines the nature of happiness, which he defines as a specially good kind of life. He considers the nature of practical reasoning, friendship, and the role and importance of the moral virtues in the best life. This new edition features a revised translation and valuable new introduction and notes.;Ethics
Since its inception as a professional field in the 1960s or so, African ethics has been neglected not only by virtue ethicists, but also by international scholars in moral philosophy generally. This is unfortunate, since sub-Saharan normative perspectives are characteristically virtue-centred, and, furthermore, are both different from traditional Western forms and just as worth taking seriously as they are. In my contribution, I spell out the two major respects in which virtue is a salient theme in African ethics, and critically appraise them in relation to some dominant Western conceptions.;Ethics
The feminist ethic of care has often been criticized for its inability to address four problems--the problem of exploitation as it threatens care givers, the problem of sustaining care-giver integrity, the dangers of conceiving the mother-child dyad normatively as a paradigm for human relationships, and the problem of securing social justice on a broad scale among relative strangers. We argue that there are resources within the ethic of care for addressing each of these problems, and we sketch strategies for developing the ethic more fully.;Ethics
Because of its reliance on a basically Aristotelian conception of virtue, contemporary virtue ethics is often criticised for being inherently elitist. I argue that this objection is mistaken. The core of my argument is that we need to take seriously that virtue, according to Aristotle, is something that we acquire gradually, via a developmental process. People are not just stuck with their characters once and for all, but can always aspire to become better (more virtuous). And that is plausibly the basic normative requirement of virtue ethics.s;Ethics
Anyone paying the least attention to philosophy in the last four decades cannot fail to have noticed the revival of virtue ethics in Anglo-American moral philosophy. This revival, with its roots in post-war Oxford and Cambridge, has sought to reconnect ethics with the vocabulary and concepts of the ancient Greeks. By recourse to its vocabulary of virtue, moral theorists have sought a richer and deeper moral psychology as well as consideration of nature and teleology. The movement has bred some of the most interesting and powerful work in recent Anglo-American ethics by thinkers as diverse as Iris Murdoch, Martha Nussbaum, and Alasdair MacIntyre, and interest in the virtues continues unabated. It has indeed spread beyond the academy into the political and cultural scene;Ethics
Virtue ethics is now well established as a substantive, independent normative theory. It was not always so. The revival of virtue ethics was initially spurred by influential criticisms of other normative theories, especially those made by Elizabeth Anscombe, Philippa Foot, John McDowell, Alasdair MacIntyre, and Bernard Williams. 1 Because of this heritage, virtue ethics is often associated with anti-theory movements in ethics and more recently, moral particularism. There are, however, quite a few different approaches to ethics that can reasonably claim to be versions of virtue ethics. The predominant strand of virtue ethics is broadly Aristotelian, although some accounts bear little resemblance to Aristotle's. In its most general form, virtue ethics is compatible with a wide range of meta-ethical and normative commitments. This diversity makes it difficult to compare virtue ethics as such with other normative theories. It can also be a challenge to see just what the various versions of virtue ethics have in common with each other. Three major types of virtue ethics are represented in the books by Rosalind Hursthouse, Michael Slote, and Christine Swanton, recommended in the following section. Each of these book sets forward a considerably self-standing form of virtue ethics. The authors differ on central issues such as the relationship between virtue and flourishing and the link between virtuous agents and right or virtuous actions. Unlike Swanton and Slote, Hursthouse defends a version of ethical naturalism that has affinities with theories recently defended by Philippa Foot and Alasdair MacIntyre. 2 Slote's theory is agent-based, meaning that his account derives judgments about the moral status of actions from moral features of agents. Hursthouse and Swanton defend theories according to which the moral status of an action depends on its broader relationship to human flourishing (Hursthouse) or whether it hits the target of a virtue (Swanton). Although these three books presently form the core of contemporary virtue ethics, there are other approaches that might reasonably be described as versions of virtue ethics, such as those presented by Julia Driver, Linda Zagzebski, and Robert Adams. 3 There are also, of course, a large number of articles in which authors defend or criticize tenets that are central to most versions of virtue ethics. Some recent articles on especially important topics are listed in the following section. Current 'hot topics' in virtue ethics include whether its account of right action is adequate and whether virtue ethics is at odds with empirical psychology. Articles on these debates and others are listed in the following section. Author Recommends: Books These three books are foundational works in contemporary virtue ethics, and represent quite different approaches to virtue ethics. For each book, I have also listed an article by the same author in which he or she articulates some similar themes. Those pressed for time or space on a syllabus might start by examining those articles. 1. Hursthouse, Rosalind. On Virtue Ethics. Oxford: Oxford University Press, 1999. Hursthouse defends a eudaimonistic version of virtue ethics with Aristotelian affinities. *See also Hursthouse, Rosalind. 'Normative Virtue Ethics.' How Should One Live? Ed. Roger Crisp. Oxford: Clarendon Press, 1996. 19–36. 2. Slote, Michael. Morals from Motives. Oxford: Oxford University Press, 2001. Slote defends a version of virtue ethics based on evaluations of motives, drawing on historical figures like Martineau, Hutcheson, and Hume. Note that this book represents a fairly significant departure from his first book in virtue ethics, From Morality to Virtue (New York: Oxford, 1992). *See also Slote, Michael. 'Agent-Based Virtue Ethics.' Virtue Ethics . Ed. Roger Crisp and Michael Slote. Oxford: Oxford University Press, 1997. 3. Swanton, Christine. Virtue Ethics: A Pluralistic View. Oxford: Oxford University Press, 2003. Swanton defends a pluralistic, non-eudaimonistic version of virtue ethics that draws on influences ranging from Aristotle to Nietzsche to contemporary psychoanalytic theory. *See also Swanton, Christine. 'A Virtue Ethical Account of Right Action.' Ethics 112 (2001): 32–52. Articles The following is a selection of articles that address some of the central and controversial topics within virtue ethics. 1. Annas, Julia. 'Being Virtuous and Doing the Right Thing.' Proceedings and Addresses of the American Philosophical Association 78.2 (2004): 61–75. This article addresses the problem of action guidance and the role that an account of right action should play in virtue ethics. 2. Conly, Sarah. 'Flourishing and the Failure of the Ethics of Virtue.' Midwest Studies in Philosophy Vol. XIII, Ethical Theory: Character and Virtue . Eds. P. French et al. South Bend: University of Notre Dame Press, 1988. 83–96. This article articulates the central problems faced by versions of virtue ethics that rely on a conception of human flourishing. 3. Das, Ramon. 'Virtue Ethics and Right Action.' Australasian Journal of Philosophy 81 (2003): 324–39. This article raises objections about insularity and circularity to accounts of right action presented by Hursthouse, Slote, and Swanton. 4. Doris, John M. 'Persons, Situations, and Virtue Ethics.' Nous 32 (1998): 504–30. This article argues that situationist psychology undermines the concept of a character trait on which virtue ethicists rely. An expanded version of this criticism can be found in Doris, Lack of Character, Cambridge: Cambridge University Press, 2002. 5. Hursthouse, Rosalind. 'Virtue Theory and Abortion.' Philosophy and Public Affairs 20.3 (1991): 223–46. This article argues that virtue ethics is capable of providing action guidance in the difficult problem of abortion. 6. Johnson, Robert N. 'Virtue and Right.' Ethics 113 (2003): 810–34. This article raises several objections against the accounts of right action in virtue ethics, one of which is that they cannot make sense of the rightness of self-improving actions. The criticism is directly primarily at Hursthouse's theory, but Swanton and Slote are discussed as well. 7. Kamtekar, Rachana. 'Situationism and Virtue Ethics on the Content of Our Character.' Ethics 114 (2004): 458–91. This article argues that situationist critiques of virtue ethics rely on a mistaken understanding of virtuous character. 8. Kawall, Jason. 'Virtue Theory and Ideal Observers.' Philosophical Studies 109 (2002): 197– 222. This article argues for an ideal observer-style account of right action in virtue ethics. 9. Nussbaum, Martha. 'Non-Relative Virtues: An Aristotelian Approach.' Midwest Studies in Philosophy, Vol. XIII, Ethical Theory: Character and Virtue . Ed. P. French et al. South Bend: University of Notre Dame Press, 1988. 32–53. This article presents a view of the virtues on which the virtues are excellences in spheres of activity. Although the spheres are common to all humans, the manifestation of excellence in a given sphere is subject to cultural variation. 10. Sreenivasan, Gopal. 'Errors about Errors: Virtue Theory and Trait Attribution.' Mind 111 (2002): 47–68. This article addresses the situationist critique of character traits by arguing that virtue ethics does not depend on the concept of a character trait as Doris and others understand it. 11. Stangl, Rebecca. 'A Dilemma for Particularist Virtue Ethics.' Philosophical Quarterly 58 (2008): 665–78. This article addresses the relationship between virtue ethics and radical moral particularism, arguing that the latter may have undesirable consequences for virtue ethicists unless they accept the unity of the virtues. 12. Stohr, Karen. 'Contemporary Virtue Ethics.' Philosophy Compass 1.1 (January 2006): 22–7. This article provides an overview and analysis of contemporary virtue ethics. It includes discussion of main problems and challenges for the future. 13. Stohr, Karen. 'Moral Cacophony: When Continence is a Virtue.' Journal of Ethics 7 (2003): 339–63. This article raises problems for the commonly accepted distinction between virtue and continence, arguing that the mixed emotions normally associated with continence are sometimes characteristic of virtue instead. 14. van Zyl, Liezl. 'Agent-Based Virtue Ethics and the Problem of Action Guidance.' Journal of Moral Philosophy 6 (2009): 50–69. This article defends agent-based virtue ethics against objections that it cannot distinguish agent-appraisal from act-appraisal and that it cannot provide adequate action guidance. Anthologies 1. Crisp, Roger, ed. How Should One Live? Essays on the Virtues. Oxford: Clarendon Press, 1996. This is one of the first virtue ethics anthologies published, and so reflects a correspondingly earlier picture of the field. The essays, however, are important and interesting in their own right, and cover a broad array of topics. 2. Crisp, Roger and Michael Slote, eds. Virtue Ethics . Oxford: Oxford University Press, 1997. This anthology was published over a decade ago and does not capture recent developments in the field. It is, however, an admirably thorough collection of the most influential essays from the early days of virtue ethics, both promoting and criticizing it. 3. Darwall, Stephen, ed. Virtue Ethics. Oxford: Blackwell, 2003. This anthology is distinctive in that it includes material from Aristotle, Hutcheson, and Hume, along with some central contemporary sources. 4. Walker, Rebecca L. and Philip J. Ivanhoe, eds. Working Virtue. Oxford: Oxford University Press, 2007. This recent anthology focuses on applied virtue ethics and has an excellent selection of essays by influential thinkers on topics including the environment, business, medicine, war, and poverty. Online Sources 'Virtue Ethics', Stanford Encyclopedia of Philosophy. http://plato.stanford.edu/entries/ethics-virtue/ Entry written by Rosalind Hursthouse and updated in 2007. 'Bibliography on Virtue Ethics', maintained by Jörg Schroth. http://www.ethikseite.de/bib/cvirtue.pdf Extensive list of work published in virtue ethics. Updated regularly, listed in both alphabetical and chronological order, and contains abstracts of papers. 'Janusblog', maintained by Guy Axtell. http://janusblog.squarespace.com/ Blog devoted to current work in virtue ethics and virtue epistemology, although with an emphasis on the latter. It contains spirited discussion among the many contributors, as well as a library of papers. Sample Syllabus This syllabus is for a graduate seminar or intense upper-level undergraduate course. Books for purchase for this course might include the Crisp and Slote anthology, the Walker and Ivanhoe anthology, and Hursthouse's On Virtue Ethics. Week 1: The Roots of Contemporary Virtue Ethics Anscombe, Elizabeth. 'Modern Moral Philosophy' (Crisp and Slote) Foot, Philippa. 'Virtues and Vices' (Crisp and Slote) MacIntyre, Alasdair. 'The Nature of the Virtues' (Crisp and Slote) Week 2: The Roots of Contemporary Virtue Ethics Stocker, Michael. 'The Schizophrenia of Modern Ethical Theories' (Crisp and Slote) Williams, Bernard. 'Morality, the Peculiar Institution' (Crisp and Slote) McDowell, John. 'Virtue and Reason' (Crisp and Slote) Week 3: Aristotelian Virtue Ethics Hursthouse, Rosalind. On Virtue Ethics, Part I Hursthouse, Rosalind. 'Practical Wisdom: A Mundane Account.' Proceedings of the Aristotelian Society 106.3 (2006): 283–307. Stangl, Rebecca. 'A Dilemma for Particularist Virtue Ethics' Week 4: Aristotelian Virtue Ethics Hursthouse, Rosalind. On Virtue Ethics, Part II Stark, Susan. 'Virtue and Emotion.' Nous 33.5 (2001): 440–55. Stohr, Karen. 'Moral Cacophony: When Continence is a Virtue' Week 5: Aristotelian Virtue Ethics Hursthouse, Rosalind. On Virtue Ethics, Part III Conly, Sarah. 'Flourishing and the Failure of an Ethics of Virtue' Nussbaum, Martha. 'Non-Relative Virtues: An Aristotelian Approach' MacIntyre, Alasdair. Dependent Rational Animals, chapter 10 Week 6: Agent-Based Virtue Ethics Slote, Michael 'Agent-Based Virtue Ethics' (Crisp and Slote) Slote, Michael, Morals from Motives, chapters 1 and 3 Week 7: Pluralistic Virtue Ethics Swanton, Christine. Virtue Ethics: A Pluralistic View , chapters 3, 4, and 11. Week 8: The Situationist Critique of Virtue Ethics Doris, John. 'Persons, Situations, and Virtue Ethics' Kamtekar, Rachana. 'Situationism and Virtue Ethics on the Content of Our Character' Sreenivasan, Gopal. 'Errors about Errors: Virtue Theory and Trait Attribution' Merritt, Maria. 'Aristotelian Virtue and the Interpersonal Aspect of Ethical Character.' Journal of Moral Philosophy 6 (2009): 23–49. Week 11: Right Action – Problems Johnson, Robert. 'Virtue and Right' Das, Ramon. 'Virtue Ethics and Right Action' Week 12: Right Action – Virtue Ethics Solutions Annas, Julia. 'Being Virtuous and Doing the Right Thing' van Zyl, Liezl. 'Agent-Based Virtue Ethics and the Problem of Action Guidance' Kawall, Jason. 'Virtue Theory and Ideal Observers' Week 13: Virtue Ethics and Professional Roles Pelligrino, Edmund. 'Professing Medicine, Virtue Based Ethics, and the Retrieval of Professionalism' (Walker and Ivanhoe) Swanton, Christine. 'Virtue Ethics, Role Ethics, and Business Ethics' (Walker and Ivanhoe) Sherman, Nancy. 'Virtue and a Warrier's Anger' (Walker and Ivanhoe) Week 14: Virtue Ethics and the Non-Human World Hursthouse, Rosalind. 'Environmental Virtue Ethics' (Walker and Ivanhoe) Walker, Rebecca. 'The Good Life for Non-Human Animals: What Virtue Requires of Humans' (Walker and Ivanhoe) Focus Questions 1. What is the relationship between virtue and flourishing? Are the virtues necessary for flourishing? Sufficient? 2. Can virtue ethics provide an adequate account of right action? 3. On what concept of a character trait does virtue ethics rely, and does situationist psychology undermine it? 4. Is the project of ethical naturalism a plausible one? To what extent does the success of Aristotelian virtue ethics depend on it? 5. How does virtue ethics affect the way that applied ethics is done?;Ethics
The first on the topic of environmental virtue ethics, this book seeks to provide the definitive anthology that will both establish the importance of environmental virtue in environmental discourse and advance the current research on environmental virtue in interesting and original ways. The selections in this collection, consisting of ten original and four reprinted essays by leading scholars in the field, discuss the role that virtue and character have traditionally played in environmental discourse, and reflect upon the role that it should play in the future;Ethics
"This volume brings together much of the most influential work undertaken in the field of virtue ethics over the last four decades. The ethics of virtue predominated in the ancient world, and recent moral philosophy has seen a revival of interest in virtue ethics as a rival to Kantian and utilitarian approaches to morality. Divided into four sections, the collection includes articles critical of other traditions; early attempts to offer a positive vision of virtue ethics; some later criticisms of the revival of virtue ethics; and, finally, some recent, more theoretically ambitious essays in virtue ethics.s";Ethics
"In this chapter, I wish to present an account of virtue ethics that does not base virtue solely on dispositions to behave in some way, but in the set of psychological states attributed to a person. In doing so, this modified account deals with all the problems the traditional virtue ethicist faces. I will start this chapter by presenting the main objections to virtue ethics: first, that it does not tell one how to act (which a moral theory should be aimed at); second, that virtues are culturally dependent; and third, that people don’t have a fixed character since their actions are too context- dependent. I will then move on to explain a new naturalized approach to virtue ethics, one taking some insights about how to think of intentional states from Dan Dennett. I will show how this new account deals with the problems raised for virtue ethics. I will then present additional advantages of this theory and explain how, contrary to some objections, this still is a version of virtue ethics.";Ethics
An on-going question for virtue ethics is whether it stands as a truly distinctive approach to ethics. In particular, there has been much discussion of whether virtue ethics can provide a viable understanding of right action, one that is a genuine rival to familiar consequentialist and deontological accounts. In this chapter I examine two prominent approaches to virtue ethics, (i) qualified agent and (ii) agent-based virtue ethics, and consider whether either can provide an adequate account of right action. I begin with a presentation of their accounts of right action, including consideration of what is meant by the term “right action”. With this groundwork in place, I turn to a series of important objections that have been raised against these accounts, and consider some of the more prominent and promising responses that these objections have inspired.;Ethics
"Virtues are dispositions to see, think, desire, deliberate, or act well, with different philosophers emphasizing different permutations of these activities. Virtue has been an object of philosophical concern for thousands of years whereas situationism—the psychological theory according to which a great deal of human perception, thought, motivation, deliberation, and behavior are explained not by character or personality dispositions but by seemingly trivial and normatively irrelevant situational influences—was a development of the 20th century. Some philosophers, especially John Doris and Gilbert Harman but also Mark Alfano and Peter Vranas, have argued that there is a tension between these two independently attractive positions. Normative ethics seems incomplete or even indefensible if it refers only to the rightness or wrongness of actions and the goodness or badness of states; we care not only about these punctate phenomena but also about laudable, longitudinal dispositions like honesty, courage, compassion, open-mindedness, and curiosity. However, according to these philosophers, decades-worth of psychological research provides robust support for situationism. Given the plausible assumption that a credible moral ideal is one that most people can aspire to and perhaps even attain, virtue theory and situationism appear to be on a collision course. The dispute between virtue ethicists and situationists unfolded over the last decade of the 20th century and the first decade of the 21st century. It continues today: Some disputants have attempted to find a middle way, and the empirical adequacy of virtue epistemology has also been called into question.";Ethics
"According to Slote's ``agent-based'' virtue ethics, the rightness orwrongness of an act is determined by the motive it expresses. Thistheory has a problem with cases where an agent can do her duty onlyby expressing some vicious motive and thereby acting wrongly. In sucha situation, an agent can only act wrongly; hence, the theory seemsincompatible with the maxim that `ought' implies `can'. I argue thatSlote's attempt to circumvent this problem by appealing to compatibilism is inadequate. In a wide range of psychologically realistic cases, an agent's effective choice will be between failingto do her duty and doing it from inferior motives. Then anythingshe can do will be wrong, according to the agent-based theory,contrary to the maxim Slote wishes to preserve.";Ethics
The distinguished philosopher Robert M. Adams presents a major work on virtue, which is once again a central topic in ethical thought. A Theory of Virtue is a systematic, comprehensive framework for thinking about the moral evaluation of character, proposing that virtue is chiefly a matter of being for what is good, and that virtues must be intrinsically excellent and not just beneficial or useful.;Ethics
"Lisa Tessman's Burdened Virtues is a deeply original and provocative work that engages questions central to feminist theory and practice, from the perspective of Aristotelian ethics. Focused primarily on selves who endure and resist oppression, she addresses the ways in which devastating conditions confronted by these selves both limit and burden their moral goodness, and affect their possibilities of flourishing. She describes two different forms of ""moral trouble"" prevalent under oppression. The first is that the oppressed self may be morally damaged, prevented from developing or exercising some of the virtues; the second is that the very conditions of oppression require the oppressed to develop a set of virtues that carry a moral cost to those who practice them--traits that Tessman refers to as ""burdened virtues."" These virtues have the unusual feature of being disjoined from their bearer's own well being. Tessman's work focuses on issues that have been missed by many feminist moral theories, and her use of the virtue ethics framework brings feminist concerns more closely into contact with mainstream ethical theory. This book will appeal to feminist theorists in philosophy and women's studies, but also more broadly, ethicists and social theorists";Ethics
In A New Form of Agent-Based Virtue Ethics , Daniel Doviak develops a novel agent-based theory of right action that treats the rightness (or deontic status) of an action as a matter of the action’s net intrinsic virtue value (net-IVV)—that is, its balance of virtue over vice. This view is designed to accommodate three basic tenets of commonsense morality: (i) the maxim that “ought” implies “can,” (ii) the idea that a person can do the right thing for the wrong reason, and (iii) the idea that a virtuous person can have “mixed motives.” In this paper, I argue that Doviak’s account makes an important contribution to agent-based virtue ethics, but it needs to be supplemented with a consequentialist account of the efficacy of well-motivated actions—that is, it should be transformed into a mixed (motives-consequences) account, while retaining its net-IVV calculus. This is because I believe that there are right-making properties external to an agent’s psychology which it is important to take into account, especially when an agent’s actions negatively affect other people. To incorporate this intuition, I add to Doviak’s net-IVV calculus a scale for outcomes . The result is a mixed view which accommodates tenets (ii) and (iii) above, but allows for (i) to fail in certain cases. I argue that, rather than being a defect, this allowance is an asset because our intuitions about ought-implies-can break down in cases where an agent is grossly misguided, and our theory should track these intuitions;Ethics
Agent-based accounts of virtue ethics, such as the one provided by Michael Slote, base the rightness of action in the motive from which it proceeds. A frequent objection to agent-basing is that it does not allow us to draw the commonsense distinction between doing the right thing and doing it for the right reasons, that is, between act-evaluation and agent-appraisal. I defend agent-basing against this objection, but argue that a more fundamental problem for this account is its apparent failure to provide adequate argue action guidance. I then show that this problem can be solved by supplementing an agent-based criterion of right action with a hypothetical-agent criterion of action guidance;Ethics
In Morals From Motives, Michael Slote defends an agent-based theory of right action according to which right acts are those that express virtuous motives like benevolence or care. Critics have claimed that Slote’s view— and agent-based views more generally— cannot account for several basic tenets of commonsense morality. In particular, the critics maintain that agent-based theories: (i) violate the deontic axiom that ought implies can , (ii) cannot allow for a person’s doing the right thing for the wrong reason, and (iii) do not yield clear verdicts in a number of cases involving conflicting motives and motivational over-determination . In this paper I develop a new agent-based theory of right action designed to avoid the problems presented for Slote’s view. This view makes morally right action a matter of expressing an optimal balance of virtue over vice and commands agents in each situation to improve their degree of excellence to the greatest extent possible;Ethics
"This essay focuses on three recent books on morality and virtue, Michael Slote's 'Morals from Motives', Rosalind Hursthouse's 'On Virtue Ethics', and Philippa Foot's 'Natural Goodness'. Slote proposes an ""agent-based"" ethical theory according to which the ethical status of acts is derivative from assessments of virtue. Following Foot's lead, Hursthouse aims to vindicate an ethical naturalism that explains human goodness on the basis of views about human nature. Both Hursthouse and Slote take virtue to be morally basic in a way that Foot, to her credit, does not. We argue that all three views face a range of serious difficulties";Ethics
While Aristotle in the Nicomachean Ethics does not provide a guide for action in the form of rules for a decision process as deontological or consequentialistethical theories purport to do, he does present a description of the virtuous agent and the virtues that this agent exercises in his choices of action. In this paper Iargue that Aristotle’s mature virtuous agent characteristically exercises the virtue of wisdom (sophia) as well as the practical virtues of character and intelligence in his choices of action and that students of virtue (those sincerely interested in becoming virtuous by acting as the virtuous agent does) can derive certain action-guiding rules from a description of these three virtues and how they are exercised by the mature virtuous agent in any given choice of action;Ethics
"Being aware of social injustices can cause existential and mental pain; comes with a burden; and may impede a flourishing life. However, I shall argue that this is not a reason to despair or to choose to be willfully ignorant. Rather, it’s a reason to conclude that being conscious is not enough. Rather, during times of oppression, resisters must also prioritize well-being. One way to do this is by extending what I refer to as solidarity care. I begin by providing an account of solidarity care. I then offer pragmatic ways in which one can extend solidarity care to others. I conclude by responding to two possible worries";Ethics
